week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits
15-01-2018,518.4195355,0.161744002,2074.968901,0,15.67222601,32.09603523,3648.98,0,0,2009.55,0,0,0,0,0,0,0,0,52555,0,59864
22-01-2018,549.8602634,0.078410514,2305.065515,0,11.62004155,21.17276554,3604.67,0,0,2009.55,0,0,0,0,0,0,0,0,52319,30962,58028
29-01-2018,630.2526537,0.117794,2082.771271,0,9.735710489,21.16479769,3778.95,0.009990786,0,2009.55,0,0,0,0,0,0,0,0,49411,0,60627
05-02-2018,725.3925783,0.023782427,4189.927821,0,5.33893801,12403.5719,3945.95,0,0,2009.55,0,0,0,0,0,0,0,0,58662,0,82847
12-02-2018,610.9088517,0.011751434,7789.973841,0,1.240954288,27664.3967,3823.71,0,0,1709.25,0,0,0,0,0,0,0,0,54372,0,84730
19-02-2018,753.1957691,0,7263.956014,0,0.314055177,20231.0495,3857.62,0,0,1709.25,0,0,0,0,0,0,0,0,54564,31739,82162
26-02-2018,672.9443686,0,3499.89314,0,2.497174996,20268.93259,3648,0,0,1742.43,0,0,0,0,0,0,0,0,17417,0,87079
05-03-2018,675.8487587,0,2315.24147,0,0,12133.44933,3576.4,0,0,1792.2,0,0,0,0,0,0,0,0,106946,0,82872
12-03-2018,666.9945985,0.004180684,0,0,0.942165531,0,3727.26,0,0,2010.2,0,0,0,0,0,0,0,0,17506,0,103819
19-03-2018,661.3268081,0.003386162,0,0,0.314055177,10000,3843.83,0,0,2010.2,0,0,0,0,0,0,0,0,88264,33994,80296
26-03-2018,666.3460454,0,0,0,0.628110354,0,4003.79,0,0,2010.2,0,0,0,0,0,0,0,0,23221,0,66507
02-04-2018,605.1846653,0.013081395,0,0,0,2.113482587,3872.31,8623.148984,0,2010.2,0,0,0,0,0,0,0,0,57644,0,62516
09-04-2018,296.7835524,0,0,0,0,4962.607574,3762.84,11927.07768,0,1574.25,0,0,0,0,0,0,0,0,66904,0,70247
16-04-2018,287.7038086,0,0,0,0,7092.239331,3722.89,10934.08793,0,1574.25,0,0,0,0,0,0,0,0,57929,0,90138
23-04-2018,1187.416189,0,0,0,1.555009465,8619.226691,3957.05,9819.84389,0,1574.25,0,0,0,0,0,0,0,0,70498,46878,90197
30-04-2018,676.0179464,0.001441105,0,0,0,12970.8143,3774.9,10161.9731,0,1574.25,0,0,0,0,0,0,0,0,60193,0,77373
07-05-2018,676.4127179,0,0,0,0,39671.98293,3773.71,9721.694241,0,1840.7,0,0,0,0,0,0,0,0,65388,0,107639
14-05-2018,659.2119609,0.001693081,0,0,0,34084.54934,3716.54,11970.96738,0,1840.7,0,0,0,0,0,0,0,0,57229,0,108623
21-05-2018,618.7760831,0,0,0,0,27384.98415,3841.16,6721.904121,0,64774.8,0,0,0,0,0,0,0,0,80450,60765,66988
28-05-2018,727.845801,0,27.45471878,0,0,1711.048511,4004.11,2.230610172,0,279510.37,0,0,0,0,0,0,0,0,927,0,33753
04-06-2018,6285.925226,0,987.767897,0,0.314055177,11998.43387,3905.49,3526.027519,0,67931.39,0,75.17559778,0,785.8243451,0,0,0,0,46077,0,59259
11-06-2018,7370.922185,0,5909.649536,0,0,10957.7788,3632.81,3873.460448,0,53434.81,0,265.023366,0,714.1756549,0,0,0,0,96558,49169,56664
18-06-2018,5159.727447,0,7141.396256,0,0,13448.53373,2574.6,3076.239911,0,118993.73,0,159.786932,0,0,0,0,0,0,94424,50744,61380
25-06-2018,5273.634215,0,10633.30601,0,0,13993.39452,1595.09,2388.145609,0,78353.36,0,0,0,0,0,0,0,0,55094,44712,50102
02-07-2018,7132.227755,0,8340.63964,0,0,15265.90234,3444.72,1995.276512,0,62661.7,0,0,0,0,0,0,0,0,45810,0,38851
09-07-2018,13712.18798,0.004180684,8178.106532,0,0.314055177,16187.22581,2584.81,2374.081608,0,17653.23,0,0,0,0,0,0,0,0,62223,0,54247
16-07-2018,21575.17069,0.002487603,904.238024,0,0.314055177,16711.31114,3925.25,2727.634982,0,41250.38,0,0.01410424,0,0,0,0,0,0,85956,55626,67863
23-07-2018,19246.78923,0,873.5462345,0,0.298788756,17365.55388,3770.8,2281.233152,0,32962.94,0,0,0,0,0,0,0,0,9558,0,73865
30-07-2018,16712.9545,0.001693081,908.3153654,0,0,17590.29348,3702.9,2580.093187,0,16475.56,0,0,0,0,0,0,0,0,62003,0,75704
06-08-2018,15317.69789,0,811.2011439,0,0.314055177,18487.79776,3571.61,2208.438922,0,8142.05,0,0,0,0,0,0,0,0,125754,57438,67260
13-08-2018,13342.58686,0.002487603,709.00442,0,0,19409.8532,3595.45,10503.33499,0,0,0,0,0,0,0,0,0,0,65385,0,59376
20-08-2018,11379.18664,0,575.3584377,0,0,17705.99804,3621.46,12466.04455,0,0,0,0,0,0,0,0,0,0,21838,0,52505
27-08-2018,596.353661,0,0.010521212,0,0.597577513,0.661638505,3500.43,0.260444475,0,0,0,0,0,0,0,0,0,0,9242,0,51014
03-09-2018,503.5892429,0,0.005260606,0,2123.765175,0,3292.12,0,0,1889.1,0,0,0,0,0,0,0,0,63382,0,62000
10-09-2018,600.4836073,0,0,0,12477.0587,0,3541.58,0,0,1889.1,0,0,0,0,0,0,0,0,69754,0,75952
17-09-2018,416.6986115,0.001441105,0,0,13323.09371,0.068316911,3545.32,0.130222237,0,1889.1,0,0,0,0,0,0,0,0,40097,0,75545
24-09-2018,7.021292595,0,0,0,2076.082415,0.059161796,1865.1,0,0,2179.75,0,0,0,0,0,0,0,0,67682,48718,55008
01-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,63606,0,46252
08-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,73876,0,47242
15-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,106525,63753,51077
